FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,marche_nom,jour,organisme,geometry
_mview_marche_marches.fid--c72d8f_193db82c344_-5b18,Plateaux,Akébou,Akébou 1,Gbendè,Gbende,Marché de Gbende,{jeudi},Non,"MULTIPOLYGON (((0.7505716666666667 7.747061666666667, 0.75073 7.747788333333333, 0.7506944181008262 7.747795068820785, 0.7505356680891275 7.747082974659114, 0.7505716666666667 7.747061666666667)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b17,Plateaux,Akébou,Akébou 1,Gbendè,Brounfou,Marché de Brounfou,{mardi},Non,"MULTIPOLYGON (((0.6758987532581278 7.736177304804335, 0.6755297176638971 7.73611746119446, 0.6754960556333424 7.736388004180771, 0.67568182017233 7.7365637947847805, 0.6758987532581278 7.736177304804335)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b16,Plateaux,Agou,Agou 2,Agotimé-Nord,Tinkou,Marché de Tinkou,{jeudi},Oui,"MULTIPOLYGON (((0.6591066666666666 6.670276666666666, 0.659955 6.670071666666667, 0.6599733333333333 6.670658333333334, 0.6592583333333334 6.6708533333333335, 0.6591066666666666 6.670276666666666)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b15,Plateaux,Agou,Agou 2,Agotimé-Nord,Nytoe,Marché de Nytoe,{jeudi},Non,"MULTIPOLYGON (((0.6568895355092971 6.662750413574411, 0.656932851608528 6.662740787774582, 0.6570993353396272 6.662982980287186, 0.6570464838853409 6.662987678194235, 0.656963096035245 6.662876102901853, 0.6568895355092971 6.662750413574411)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b14,Savanes,Tône,Tône 4,Korbongou,Nsp,Nsp,Nsp,Non,"MULTIPOLYGON (((0.38546 10.927331666666666, 0.385505 10.927148333333331, 0.3856416666666667 10.927148333333331, 0.38571 10.927275000000002, 0.3857066666666666 10.927433333333333, 0.3857891937919243 10.92747403064617, 0.3857825861387484 10.927716243342246, 0.3859819170095559 10.92776490211895, 0.3859819170095559 10.92776490211895, 0.3859885246627318 10.92813038334228, 0.3842983333333334 10.927203333333333, 0.3844983333333333 10.927159999999999, 0.38546 10.927331666666666)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b13,Plateaux,Akébou,Akébou 1,Djon,Djon,Marché de Djon,{lundi},Non,"MULTIPOLYGON (((0.7909733333333333 7.728511666666666, 0.7908566666666667 7.728511666666666, 0.7906433333333334 7.728855, 0.7911616666666668 7.729198333333333, 0.7909733333333333 7.728511666666666)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b12,Plateaux,Akébou,Akébou 1,Veh,Veh-kougna,Marché de Veh-kougna,"{jeudi,mercredi}",Non,"MULTIPOLYGON (((0.731204142684608 7.67152537450638, 0.731169878896776 7.671531798966599, 0.731117412471658 7.6715210915329015, 0.7310852901705654 7.671461129904196, 0.7311709496401456 7.671478261798112, 0.7311955767376499 7.6714857570017, 0.731204142684608 7.67152537450638)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b11,Plateaux,Akébou,Akébou 2,Sérégbénè,Seregbene,Marché de Seregbene,{mardi},Non,"MULTIPOLYGON (((0.7413303553890567 7.870883453388319, 0.7416489983992567 7.870838516553547, 0.7416016104644064 7.870115442030401, 0.741349147156325 7.870136684897748, 0.7413573174899197 7.8702355459342455, 0.7412788822874089 7.870292738269411, 0.7413303553890567 7.870883453388319)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b10,Plateaux,Akébou,Akébou 2,Kpalavé,Wadagni,Marché Wadagni,{lundi},Non,"MULTIPOLYGON (((0.8523805044019687 7.85018764702653, 0.8524345775860861 7.849679797527048, 0.8521934404136698 7.849656414528512, 0.8521379057921439 7.850002775194348, 0.8523805044019687 7.85018764702653)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b0f,Plateaux,Akébou,Akébou 2,Kpalavé,Kabagni,Marché de Kabagni,{mardi},Non,"MULTIPOLYGON (((0.7752500134431073 7.886515026957709, 0.7754100636329827 7.886702870294329, 0.7757800000000002 7.886416313367546, 0.775607490813308 7.886228470030925, 0.7752500134431073 7.886515026957709)))"
