FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,cooperative_type,cooperative_nom,geometry
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6742,Plateaux,Amou,Amou 1,Imlè-Adiva,KOUTOUKPA,Nsp,Nsp,"MULTIPOLYGON (((0.9879616666666667 7.494208333333334, 0.9870249999999999 7.495433333333334, 0.9864766666666667 7.495185, 0.9870599999999999 7.493915, 0.9870599999999999 7.493915, 0.9879616666666667 7.494208333333334)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6743,Plateaux,Amou,Amou 2,Kpatégan,OGBATANAWLOU,"{Cooperative production,champ de zaap}",Coopérative Essowe,"MULTIPOLYGON (((1.0970107760737924 7.361598799761789, 1.0958666774419636 7.362521705991465, 1.0945776596501031 7.360744539450025, 1.0956988763092956 7.359760614626651, 1.0970107760737924 7.361598799761789)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6744,Plateaux,Haho,Haho 4,Kpegnon (Haito),KLOVÉMÉ,{Cooperative production},Trotrogno,"MULTIPOLYGON (((1.0520033333333332 7.172676666666666, 1.0517983333333334 7.171803333333334, 1.052855 7.171925000000001, 1.0533240214142037 7.1723257526655475, 1.0525450579479962 7.1728120896444505, 1.0520033333333332 7.172676666666666)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6745,Plateaux,Amou,Amou 2,Kpatégan,OGBATANAWLOU,"{Cooperative production,champ de zaap}",Coopérative Essossimna,"MULTIPOLYGON (((1.0943356345912274 7.360406126629944, 1.0956017704104513 7.359612884911875, 1.0947703920713225 7.35813318401471, 1.0937330759784645 7.359132363486506, 1.0943356345912274 7.360406126629944)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6746,Plateaux,Haho,Haho 4,Kpegnon (Haito),KOMLANKOPE,{Cooperative production},Trotrogno,"MULTIPOLYGON (((1.031765 7.18663, 1.0315633333333334 7.185781666666666, 1.0321683333333334 7.1854216666666675, 1.0324066666666667 7.186151666666666, 1.031765 7.18663)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6747,Plateaux,Haho,Haho 4,Kpegnon (Haito),KOMLANKOPE,{Cooperative production},Trotrogno,"MULTIPOLYGON (((1.0324433333333334 7.186134999999999, 1.03341 7.1856800000000005, 1.032975 7.184810000000001, 1.0322183333333332 7.185413333333334, 1.0324433333333334 7.186134999999999)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6748,Plateaux,Haho,Haho 4,Kpegnon (Haito),KOMLANKOPE,{Cooperative production},Trotrogno,"MULTIPOLYGON (((1.0349633333333335 7.185786666666667, 1.0358833333333335 7.185511666666668, 1.035645 7.184805, 1.034895 7.184913333333332, 1.0349633333333335 7.185786666666667)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6749,Plateaux,Agou,Agou 1,Agou-Akplolo,DIDOKPUI,{Cooperative production},Espoir,"MULTIPOLYGON (((0.8107566666666667 6.919388333333334, 0.8104216666666667 6.919178333333334, 0.8105366666666666 6.918966666666667, 0.8098716666666667 6.918793333333333, 0.8092 6.918648333333334, 0.8086033333333333 6.920095, 0.8098283333333334 6.920780000000001, 0.8107566666666667 6.919388333333334)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_674a,Plateaux,Agou,Agou 1,Agou-Akplolo,DIDOKPUI,Nsp,Nsp,"MULTIPOLYGON (((0.8084233333333334 6.911806666666666, 0.8093533333333334 6.912495, 0.8093516666666667 6.912495, 0.810035 6.912041666666666, 0.8098016666666666 6.911500000000001, 0.8096366666666667 6.911481666666667, 0.80955 6.9113983333333335, 0.8089266666666667 6.911356666666667, 0.8084233333333334 6.911806666666666)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_674b,Savanes,Oti-Sud,Oti-Sud 2,Koumongou,N/a,Nsp,Nsp,"MULTIPOLYGON (((0.45521 10.17818, 0.4550783333333334 10.177285000000001, 0.4545966666666666 10.177325, 0.454645 10.178205, 0.45521 10.17818)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_674c,Savanes,Tône,Tône 4,Sanfatoute,N/a,Nsp,Nsp,"MULTIPOLYGON (((0.2964483333333333 11.04728, 0.297045 11.047235, 0.296645 11.04772, 0.2962 11.047316666666665, 0.2964483333333333 11.04728)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_674d,Plateaux,Agou,Agou 1,Gadja,GADJAGAN,{Cooperative production},Main Dans La Main,"MULTIPOLYGON (((0.7819116666666667 6.814118333333333, 0.7824133333333333 6.8134966666666665, 0.7824683333333333 6.813408333333332, 0.7825183333333333 6.813356666666666, 0.782575 6.8132866666666665, 0.7830733333333334 6.813271666666666, 0.782365 6.814178333333333, 0.7819116666666667 6.814118333333333)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_674e,Plateaux,Moyen-Mono,Moyen-Mono 1,Ahassomè,GAME,{Cooperative production},Nounegnon,"MULTIPOLYGON (((1.5031666666666665 7.269604999999999, 1.50605 7.269801666666666, 1.5061916666666666 7.268890000000001, 1.5035766666666666 7.268798333333333, 1.5031666666666665 7.269604999999999)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_674f,Plateaux,Moyen-Mono,Moyen-Mono 2,Kpékplémé,ATIFOUTOU,Nsp,Nsp,"MULTIPOLYGON (((1.6206783333333334 7.307649999999999, 1.6207116666666668 7.307701666666666, 1.6205849999999997 7.307855000000001, 1.6205516666666668 7.307825, 1.6206416666666663 7.3077, 1.6206783333333334 7.307649999999999)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6750,Savanes,Tandjoaré,Tandjoaré 2,Sissiak,N/a,Nsp,Nsp,"MULTIPOLYGON (((0.112833511158084 10.73696242507536, 0.1130871335771042 10.736979678301145, 0.1130319232545964 10.737455867332777, 0.1127886527710463 10.73744033942957, 0.112833511158084 10.73696242507536)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6751,Plateaux,Moyen-Mono,Moyen-Mono 2,Kpékplémé,ATIFOUTOU,Nsp,Nsp,"MULTIPOLYGON (((1.620388333333333 7.306886666666666, 1.6203766666666666 7.306821666666667, 1.6205916666666667 7.306719999999999, 1.620613333333333 7.306783333333334, 1.620388333333333 7.306886666666666)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6752,Savanes,Cinkassé,Cinkassé 2,Sam-Naba,N/a,Cooperative production,Lampouguini,"MULTIPOLYGON (((0.0839733333333333 11.068783333333332, 0.0838483333333333 11.069008333333333, 0.083665 11.069098333333333, 0.0839316666666667 11.069756666666668, 0.0839279017535402 11.069745077054236, 0.0840965193371507 11.069337623161159, 0.0839733333333333 11.068783333333332)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6753,Savanes,Cinkassé,Cinkassé 2,Sam-Naba,N/a,Cooperative production,Lampouguini,"MULTIPOLYGON (((0.0839166666666667 11.069771666666668, 0.083231597921909 11.070294175325184, 0.0830635465804587 11.069965432555048, 0.0830339586056467 11.069539623530005, 0.0837250678140758 11.069269506902767, 0.0839166666666667 11.069771666666668)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6754,Savanes,Cinkassé,Cinkassé 2,Sam-Naba,N/a,"{Cooperative production,tontine}",Lampouguini,"MULTIPOLYGON (((0.09112 11.077128333333333, 0.0901533333333333 11.076568333333334, 0.0901716666666667 11.077153333333335, 0.0900966666666667 11.077213333333335, 0.089775 11.0773, 0.0893133333333333 11.077446666666667, 0.089255 11.077451666666665, 0.08921 11.077551666666666, 0.0890283333333333 11.077838333333334, 0.0890483333333333 11.078076666666668, 0.0897733333333333 11.079543333333334, 0.0901683333333333 11.079256666666668, 0.0901516666666667 11.078968333333334, 0.0907116666666667 11.078524999999997, 0.0911016666666667 11.078341666666665, 0.0909183333333333 11.077841666666666, 0.09092 11.077403333333333, 0.0911133333333333 11.077133333333332, 0.09112 11.077128333333333)))"
_mview_zaapzapb_champs_individuels_zaap_zapb.fid-7111a9c0_193e574b72f_6755,Savanes,Tandjoaré,Tandjoaré 2,Nano,N/a,Nsp,Nsp,"MULTIPOLYGON (((0.1254066666666667 10.715631666666665, 0.1256466666666667 10.715715, 0.12572 10.715411666666666, 0.1257416666666667 10.715336666666667, 0.1254466666666666 10.715308333333333, 0.1254066666666667 10.715631666666665)))"
