FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,exploitation_nom,exploitation_annee,terrain,geometry
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1df0,Plateaux,Kloto,Kloto 1,Hanyigba,HANYIGBA TODZI,Plantation Dussey,2020,Prive - individuel,POINT (0.55728 6.8911733333333345)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1df1,Maritime,Vo,Vo 3,Dzrékpo,YOHONOU,Plantation Somabe,Nsp,Prive - individuel,POINT (1.5666212728352127 6.456660600367619)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1df2,Centrale,Tchamba,Tchamba 1,Alibi I,AKOURA,Plantation d'Anacades Deabalo,1997,Prive - individuel,POINT (1.4027983333333334 8.893716666666668)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1df3,Centrale,Tchamba,Tchamba 3,Balanka,BALANKA,Plantation d'Anacades Affonda,2006,Prive - individuel,POINT (1.6088519671668138 8.861707089290734)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1df4,Plateaux,Agou,Agou 1,Agou-Iboé,WESSIDO,Plantation Boevi,2019,Prive - individuel,POINT (0.7817440933667045 6.8688319056739395)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1df5,Plateaux,Anié,Anié 2,Atchinédji,AYORE,Plantation Akoda,1998,Prive - individuel,POINT (1.4101416639731907 7.6264397405714215)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1df6,Centrale,Tchamba,Tchamba 1,Alibi I,ALIBI BLOC,Plantation d'Anacades Anamig,2012,Prive - individuel,POINT (1.4240971919160579 8.91527685820903)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1df7,Centrale,Tchamba,Tchamba 1,Larini,Kitchitcho,Plantation d'Anacades Tchangai,2010,Prive - individuel,POINT (1.4393476729353614 9.120536015616894)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1df8,Centrale,Tchamba,Tchamba 1,Larini,Larini,Plantation d'Anacades Koubere,2005,Prive - individuel,POINT (1.4208513520269241 9.074592033545784)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1df9,Maritime,Avé,Avé 1,Kévé,DJOKOPE,Plantation de Palmier Agbemadokponou,2012,Prive - individuel,POINT (1.043688169796759 6.445401118922405)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1dfa,Plateaux,Agou,Agou 1,Agou-Atigbé,Sofié,Plantation Teck,2003,Domaine prive de l Etat ou des collectivites territoriales,POINT (0.7605746047941401 6.775634121603455)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1dfb,Plateaux,Agou,Agou 1,Assahoun-Fiagbé,AGBALELE,Plantation Agbalele,1992,Prive - individuel,POINT (0.702874577662951 6.810625882906803)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1dfc,Savanes,Oti-Sud,Oti-Sud 1,Tchamonga,KPOKOU,Plantation Douhore,2012,Prive - individuel,POINT (0.7127266871348127 10.492719416414552)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1dfd,Savanes,Cinkassé,Cinkassé 1,Boadé,BOADE CENTRE,Plantation de Manguier de Sako,Nsp,Prive - individuel,POINT (-0.0732742539457921 11.126472481432648)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1dfe,Savanes,Cinkassé,Cinkassé 1,Boadé,BOADE,Plantation de Manguier de Sako,Nsp,Prive - individuel,POINT (-0.0713475449516979 11.124924587651076)
