FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,cooperative_nom,cooperative_statut,cooperative_type,geometry
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60d9,Plateaux,Akébou,Akébou 2,Kpalavé,Gboyéyé,Coopérative Yekeri,{Cooperative production},Nsp,POINT (0.8355683333333332 7.783336666666666)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60d8,Plateaux,Akébou,Akébou 2,Kpalavé,Adikrom,Coopérative Gpc Ktawe,"{Cooperative production,entraide}",Nsp,POINT (0.8114883333333334 7.865155000000001)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60d7,Plateaux,Akébou,Akébou 2,Kpalavé,Adikrom,Coopérative Klatawe,"{Cooperative production,entraide}",Nsp,POINT (0.8099116666666667 7.863615)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60d6,Plateaux,Akébou,Akébou 2,Kpalavé,Agbedipe,Coopérative Gpc Noupouo,"{Cooperative production,entraide,tontine}",Nsp,POINT (0.8235499999999999 7.855003333333333)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60d5,Plateaux,Akébou,Akébou 2,Kpalavé,Agbedipe,Coopérative lotoawe,"{Cooperative production,entraide}",Nsp,POINT (0.8236439809258774 7.855140577447456)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60d4,Plateaux,Akébou,Akébou 2,Kpalavé,Kabagni,Coopérative Gpc Kabagni,{Cooperative production},Nsp,POINT (0.7748566666666666 7.887366666666666)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60d3,Plateaux,Akébou,Akébou 2,Kpalavé,Wodagni,Coopérative Yata,{Cooperative production},Nsp,POINT (0.8540516666666667 7.850468333333334)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60d2,Plateaux,Akébou,Akébou 2,Kpalavé,Wodagni,Coopérative Gpc Wodagni,{Cooperative production},Nsp,POINT (0.8513333333333333 7.851391666666666)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60d1,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kamina,Coopérative Ketawe,"{Cooperative production,entraide}",Nsp,POINT (0.8515633333333333 7.927993333333334)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60d0,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kamina,Coopérative P'apayiri,{Cooperative production},Nsp,POINT (0.8516050643359351 7.927929598377178)
