FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,cooperative_nom,cooperative_statut,cooperative_type,geometry
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c9c,Plateaux,Haho,Haho 4,Wahala,Akana-cope,Coopérative dekawowo,"{Cooperative production,entraide}",Nsp,POINT (1.1270070164659765 7.1643750167665035)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c9b,Plateaux,Haho,Haho 4,Wahala,Akana-cope,Coopérative Novissi,{Cooperative production},Nsp,POINT (1.1243021603375558 7.163670562427321)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c9a,Plateaux,Haho,Haho 4,Wahala,Tetera Condji,Coopérative lihemome,{Cooperative production},Nsp,POINT (1.161759182591442 7.189129066268505)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c99,Plateaux,Haho,Haho 4,Wahala,Mikeriba,Coopérative Force Culture,"{Cooperative production,tontine,entraide}",Nsp,POINT (1.1686995166754197 7.194511612989458)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c98,Plateaux,Haho,Haho 4,Wahala,Mikeriba,Coopérative Gpc Mikeriba,{Cooperative production},Nsp,POINT (1.1688333333333332 7.192666666666666)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c97,Plateaux,Haho,Haho 4,Wahala,Tetera Condji,Coopérative Gpc Tetera,{Cooperative production},Nsp,POINT (1.1608737961366624 7.191041318756004)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c96,Plateaux,Haho,Haho 4,Wahala,Tetera Condji,Coopérative Espoir,"{Cooperative production,tontine,entraide}",Nsp,POINT (1.162380730436083 7.188973511490648)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c95,Plateaux,Haho,Haho 4,Wahala,Gotha-adja,Coopérative lonlongno,"{Cooperative production,tontine,entraide,Cooperative transformation}",Nsp,POINT (1.204946336109653 7.167861222734965)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c94,Plateaux,Haho,Haho 4,Wahala,Gotha-adja,Coopérative Gpc Gotha Adja,"{Cooperative production,entraide}",Nsp,POINT (1.2069552693685612 7.167239755610122)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c93,Plateaux,Haho,Haho 4,Wahala,Gotha-kabye,Coopérative Pladeou,{Cooperative production},Nsp,POINT (1.1958666736049337 7.177422418013705)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c92,Plateaux,Haho,Haho 4,Wahala,Kalabe,Coopérative la Paix,"{Cooperative production,entraide}",Nsp,POINT (1.0901783333333335 7.182465)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c91,Plateaux,Haho,Haho 4,Wahala,Kalabe,Coopérative En Avant,"{Cooperative production,entraide}",Nsp,POINT (1.0859765987809296 7.184149801013387)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c90,Plateaux,Haho,Haho 4,Wahala,Kalabe,Coopérative Novissi,"{Cooperative production,entraide}",Nsp,POINT (1.0870266666666666 7.183671666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c8f,Plateaux,Haho,Haho 4,Wahala,Kalabe,Coopérative Essolakina,"{Cooperative production,entraide}",Nsp,POINT (1.0832480810896228 7.184577439128037)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c8e,Plateaux,Haho,Haho 4,Wahala,Kalabe,Coopérative lonlongnon,"{Cooperative production,entraide}",Nsp,POINT (1.0915183333333334 7.182799999999999)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c8d,Plateaux,Haho,Haho 4,Wahala,Agnam-cope,Coopérative la Paix,"{Cooperative production,entraide}",Nsp,POINT (1.1412633347563854 7.170123807940428)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c8c,Plateaux,Haho,Haho 4,Wahala,Akana-cope,Coopérative Bienvenue,"{Cooperative production,entraide}",Nsp,POINT (1.1279342940876576 7.167019914407119)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c8b,Plateaux,Haho,Haho 4,Wahala,Somone Cope,Coopérative Scoops Union Somone,"{Cooperative production,entraide}",Nsp,POINT (1.21109 7.135610000000001)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c8a,Plateaux,Kloto,Kloto 1,Tové,Ahoudjo,Coopérative Miwenegnon,{Cooperative production},Nsp,POINT (0.6485738874876188 6.877184798836078)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c89,Plateaux,Kloto,Kloto 1,Tové,Aveneme,Coopérative etsonenyo,"{Cooperative production,Cooperative transformation}",Nsp,POINT (0.6534236109519759 6.8715506443712036)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c88,Plateaux,Kloto,Kloto 1,Tové,Tove Djigbe,Coopérative Apeyno,{Cooperative production},Nsp,POINT (0.6536816666666667 6.87294)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c87,Plateaux,Kloto,Kloto 1,Tové,Tove Ati,Coopérative Gaet,"{Cooperative transformation,Cooperative production,entraide}",Nsp,POINT (0.6516850000000001 6.874711666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c86,Plateaux,Haho,Haho 2,Asrama,Gbowle,Coopérative Yesu le Eme,{Cooperative production},Nsp,POINT (1.5237209272502468 7.013082196403594)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c85,Plateaux,Haho,Haho 2,Asrama,Tetetou,Coopérative dekawowo,{Cooperative production},Nsp,POINT (1.4993633333333336 7.009018333333334)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c84,Plateaux,Haho,Haho 2,Asrama,Hoévimé,Coopérative Gpc de Hoévimé,{Cooperative production},Nsp,POINT (1.5067384030533322 7.027676027451833)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c83,Plateaux,Haho,Haho 2,Asrama,Djangome,Coopérative lomnava,{Cooperative production},Nsp,POINT (1.5029122699247575 6.960038443639678)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c82,Plateaux,Haho,Haho 2,Asrama,Adjakpahoe,Coopérative Assilassime,{Cooperative production},Nsp,POINT (1.469095 7.022406666666666)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c81,Plateaux,Haho,Haho 2,Asrama,Adjakpahoe Village,Coopérative Coop Yayra,{Cooperative production},Cooperative simple,POINT (1.4690583333333331 7.022381666666666)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c80,Plateaux,Haho,Haho 2,Asrama,Adantokpodzi,Coopérative Djade Nadou,{Cooperative production},Nsp,POINT (1.46587 7.009613333333334)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c7f,Plateaux,Haho,Haho 2,Asrama,Adantokpodji,Coopérative Ega legbeme,{Cooperative production},Nsp,POINT (1.4658238425713066 7.009528481424371)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c7e,Plateaux,Haho,Haho 2,Asrama,Asrama,Coopérative Jesus Est Roi,{Cooperative production},Nsp,POINT (1.406065 7.004458333333334)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c7d,Plateaux,Haho,Haho 2,Asrama,Asrama,Coopérative Agbeledjissi,{Cooperative production},Nsp,POINT (1.4059966816455582 7.004272464978443)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c7c,Plateaux,Haho,Haho 2,Asrama,Klotchome,Coopérative Hamegnon,{Cooperative production},Nsp,POINT (1.3886445922525155 7.001778018930913)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c7b,Plateaux,Haho,Haho 2,Asrama,Asrama,Coopérative la Patience,{Cooperative production},Nsp,POINT (1.4059276522614852 7.004272139547086)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c7a,Plateaux,Haho,Haho 2,Asrama,Asrama,Coopérative Djidjole,"{Cooperative production,tontine}",Nsp,POINT (1.4059241584569975 7.0041323453595306)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c79,Plateaux,Haho,Haho 2,Asrama,Asrama,Coopérative Dieu Beni,"{Cooperative production,tontine}",Nsp,POINT (1.4058816666666667 7.0043750000000005)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c78,Plateaux,Haho,Haho 2,Asrama,Asrama,Coopérative Agnoko,"{Cooperative production,tontine}",Nsp,POINT (1.4058983333333332 7.0044)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c77,Plateaux,Haho,Haho 2,Asrama,Klotchome,Coopérative Novissi,"{Cooperative production,tontine}",Nsp,POINT (1.3887483333333333 7.001833333333334)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c76,Plateaux,Haho,Haho 2,Asrama,Asrama,Coopérative Amenouveve,{Cooperative production},Nsp,POINT (1.405812566756385 7.004143032774904)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c75,Plateaux,Haho,Haho 2,Asrama,Klotchome,Coopérative Edjodjinam,{Cooperative production},Nsp,POINT (1.3856166666666667 7.000246666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c74,Plateaux,Haho,Haho 2,Asrama,Tohoedohoe,Coopérative Mawunyon,{Cooperative production},Nsp,POINT (1.3756188401166942 6.983472788923973)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c73,Plateaux,Haho,Haho 2,Asrama,Kame,Coopérative Mokpokpo,{Cooperative production},Nsp,POINT (1.3907533333333333 7.023756666666666)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c72,Plateaux,Haho,Haho 2,Asrama,Kame,Coopérative Elevagnon,"{Cooperative production,tontine}",Nsp,POINT (1.390737368377398 7.024139285938468)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c71,Plateaux,Haho,Haho 2,Asrama,Edouhoe,Coopérative Mawuegnigan,{Cooperative production},Nsp,POINT (1.3962416666666666 7.013048333333334)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c70,Plateaux,Haho,Haho 2,Asrama,Asrama,Coopérative Sun Rise,{small business},Nsp,POINT (1.4041866666666667 7.0030866666666665)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c6f,Plateaux,Haho,Haho 2,Asrama,Asrama,Coopérative Solim,{Cooperative production},Nsp,POINT (1.4204566666666667 7.006521666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c6e,Plateaux,Kloto,Kloto 1,Tomé,Lovi Cope,Coopérative Union,{Cooperative transformation},Nsp,POINT (0.6351647269873911 6.792264854952356)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c6d,Plateaux,Haho,Haho 3,Kpédomé,Gnignon,Coopérative Novissi,{Cooperative production},Nsp,POINT (1.2250216666666667 7.033205)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c6c,Plateaux,Haho,Haho 3,Kpédomé,Gnignon,Coopérative la Victoire,{Cooperative production},Nsp,POINT (1.2255166666666668 7.032508333333334)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c6b,Plateaux,Haho,Haho 3,Kpédomé,Soklibi,Coopérative Soklibi,"{Cooperative production,entraide}",Nsp,POINT (1.154685 7.047431666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c6a,Plateaux,Haho,Haho 3,Kpédomé,Rodokpe,Coopérative Gnagb-bilga,"{Cooperative production,entraide}",Nsp,POINT (1.1551866666666666 7.04508)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c69,Plateaux,Haho,Haho 4,Akpakpakpé,Zomayi,Coopérative Mawugno,"{tontine,Cooperative production}",Nsp,POINT (1.0891916666666668 7.0758133333333335)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c68,Plateaux,Haho,Haho 4,Akpakpakpé,Atchavi Cope,Coopérative Veviedodo,{Cooperative production},Nsp,POINT (1.0753383333333335 7.112833333333333)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c67,Plateaux,Haho,Haho 3,Kpédomé,Rodokpe,Coopérative Agri-ge,"{Cooperative production,tontine,entraide}",Nsp,POINT (1.1556318707362825 7.044845465433797)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c66,Plateaux,Haho,Haho 3,Kpédomé,Rodokpe,Coopérative Djibidi,"{Cooperative production,tontine,entraide}",Nsp,POINT (1.153954256708844 7.045582064046559)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c65,Plateaux,Haho,Haho 4,Akpakpakpé,Djaga,Coopérative Nivakpo,"{Cooperative production,autre}",Nsp,POINT (1.1207576453338692 7.088119555260346)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c64,Plateaux,Haho,Haho 4,Akpakpakpé,Djaga,Coopérative Gbenodou,"{tontine,Cooperative production}",Nsp,POINT (1.1204898572990911 7.088098686604768)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c63,Plateaux,Haho,Haho 4,Akpakpakpé,Rodokpe,Coopérative lolonyo de Zomayi,"{tontine,Cooperative production}",Cooperative avec conseil d administration,POINT (1.0903519749035628 7.075353852124044)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c62,Plateaux,Haho,Haho 4,Akpakpakpé,Kokoliakpe,Coopérative lolonyo de Kokoliakpe,"{Cooperative production,autre}",Nsp,POINT (1.0601661840370094 7.078198929198922)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c61,Plateaux,Haho,Haho 4,Akpakpakpé,Akpakpape-centre,Coopérative Nagnomidou,"{Cooperative production,tontine}",Nsp,POINT (1.069105544205639 7.1197769047697195)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c60,Plateaux,Kloto,Kloto 1,Kpadapé,Kpadape,Coopérative Kolping,{Cooperative production},Nsp,POINT (0.5924833333333334 6.840701666666666)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c5f,Plateaux,Haho,Haho 4,Akpakpakpé,Paris-cope,Coopérative Asileasime,"{Cooperative production,Cooperative transformation}",Nsp,POINT (1.0738042038785636 7.112513994191165)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c5e,Plateaux,Haho,Haho 3,Kpédomé,Avassikpe,Coopérative la Paix,{Cooperative production},Nsp,POINT (1.20519 7.0760499999999995)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c5d,Plateaux,Haho,Haho 3,Kpédomé,Avassikpe,Coopérative Adjoagno,{Cooperative production},Nsp,POINT (1.2055083333333334 7.077953333333332)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c5c,Plateaux,Haho,Haho 3,Kpédomé,Avassikpe,Coopérative la Grace,{Cooperative production},Nsp,POINT (1.2096416666666667 7.0797349999999994)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c5b,Plateaux,Haho,Haho 3,Kpédomé,Avassikpe,Coopérative lebene,{Cooperative production},Nsp,POINT (1.2045833333333333 7.077110000000001)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c5a,Plateaux,Haho,Haho 3,Kpédomé,Agbatitoe,Coopérative Ciagri-togo,{Cooperative production},Nsp,POINT (1.155417590545319 7.101952713803866)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c59,Plateaux,Haho,Haho 4,Akpakpakpé,Detoe,Coopérative Midoveve,{Cooperative production},Nsp,POINT (1.0211708758687186 7.103805488816333)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c58,Plateaux,Haho,Haho 3,Kpédomé,Agbatitoe,Coopérative Assohada,{Cooperative production},Nsp,POINT (1.1534355113413322 7.076250383967921)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c57,Plateaux,Haho,Haho 3,Kpédomé,Agbatitoe,Coopérative Souroutawi,{Cooperative production},Nsp,POINT (1.1532933333333333 7.073206666666666)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c56,Plateaux,Haho,Haho 3,Kpédomé,Agbatitoe,Coopérative Kroukpaka,{Cooperative production},Nsp,POINT (1.151154517080515 7.073613320453136)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c55,Plateaux,Haho,Haho 3,Kpédomé,Agbatitoe,Coopérative Alowodo,{Cooperative production},Nsp,POINT (1.1611583333333333 7.074441666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c54,Plateaux,Haho,Haho 3,Kpédomé,Agbatitoe,Coopérative Hagnon,{Cooperative production},Nsp,POINT (1.161191327569141 7.074294692327662)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c53,Plateaux,Haho,Haho 3,Kpédomé,Agbatitoe,Coopérative Novikpokpo,{Cooperative production},Nsp,POINT (1.1532391715266552 7.073317174522191)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c52,Plateaux,Haho,Haho 3,Kpédomé,Agbatitoe,Coopérative Miwoe-nagnon,{Cooperative production},Nsp,POINT (1.154995 7.068776666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c51,Plateaux,Haho,Haho 3,Kpédomé,Avovocope,Coopérative Uccr-agblegno,{Cooperative production},Nsp,POINT (1.1757483333333334 7.072311666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c50,Plateaux,Haho,Haho 3,Kpédomé,Avovocope,Coopérative dekawowo,{Cooperative production},Nsp,POINT (1.1757598170420207 7.072255968797524)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c4f,Plateaux,Haho,Haho 3,Kpédomé,Akakegan,Coopérative Assilassime,{Cooperative production},Nsp,POINT (1.1859 7.058941666666668)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c4e,Plateaux,Haho,Haho 3,Kpédomé,Simbao,Coopérative libemhour,{Cooperative production},Nsp,POINT (1.1696433333333334 7.079061666666666)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c4d,Plateaux,Haho,Haho 4,Akpakpakpé,Detoe,Coopérative Wenagno,{Cooperative production},Nsp,POINT (1.0212440050197327 7.104327525788188)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c4c,Plateaux,Haho,Haho 4,Akpakpakpé,Detoe,Coopérative Yedoube,{Cooperative production},Nsp,POINT (1.0210464138960447 7.103958703253247)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c4b,Plateaux,Haho,Haho 4,Akpakpakpé,Detoe,Coopérative la Gloire,{Cooperative production},Cooperative simple,POINT (1.021303340658935 7.1034364718819445)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c4a,Plateaux,Haho,Haho 3,Kpédomé,Lété,Coopérative Yendoube,"{tontine,Cooperative production}",Nsp,POINT (1.062194070779588 7.016090808427532)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c49,Plateaux,Haho,Haho 3,Kpédomé,Zitsou,Coopérative Dounagbon de Zitsou,{Cooperative production},Nsp,POINT (1.1710666666666665 7.024511666666666)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c48,Plateaux,Haho,Haho 3,Kpédomé,Zitsou,Coopérative Espoir,{Cooperative production},Nsp,POINT (1.1710416666666668 7.024463333333333)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c47,Plateaux,Haho,Haho 3,Kpédomé,Notse,Coopérative Femmes Dynamiques,"{Cooperative production,tontine}",Nsp,POINT (1.1716633333333335 6.9727016666666675)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c46,Plateaux,Haho,Haho 3,Kpédomé,Akame,Coopérative Djranoudo,"{Cooperative production,entraide}",Nsp,POINT (1.1623983333333332 7.004169999999999)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c45,Plateaux,Haho,Haho 3,Kpédomé,Akame,Coopérative Hanyo,"{Cooperative production,entraide}",Nsp,POINT (1.1621033333333335 7.002781666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c44,Plateaux,Haho,Haho 3,Kpédomé,Akame,Coopérative Edoyegniame,"{Cooperative production,entraide}",Nsp,POINT (1.1617233333333334 7.0029200000000005)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c43,Plateaux,Haho,Haho 3,Kpédomé,Akame,Coopérative Djidjole,"{Cooperative production,tontine,entraide}",Nsp,POINT (1.1614916666666666 7.003101666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c42,Plateaux,Haho,Haho 3,Kpédomé,Akame,Coopérative Mawulomi,"{Cooperative production,entraide}",Nsp,POINT (1.161465 7.0037883333333335)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c41,Plateaux,Haho,Haho 3,Kpédomé,Adjigno Cope,Coopérative Assiwodo,"{Cooperative production,entraide}",Nsp,POINT (1.1472433333333332 7.016975)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c40,Plateaux,Haho,Haho 3,Kpédomé,Adjigno Cope,Coopérative Elanwonedji,"{Cooperative production,entraide}",Nsp,POINT (1.1473916666666668 7.016876666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c3f,Plateaux,Haho,Haho 3,Kpédomé,Kpedji,Coopérative Biderma,"{Cooperative production,entraide}",Nsp,POINT (1.1796832599285123 6.989196690053627)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c3e,Plateaux,Haho,Haho 3,Kpédomé,Kpedji,Coopérative Solim Eya,"{Cooperative production,entraide}",Nsp,POINT (1.1781572228971673 6.988879531208567)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c3d,Plateaux,Haho,Haho 3,Kpédomé,Kpedji,Coopérative Solim,"{Cooperative production,entraide}",Nsp,POINT (1.1784766666666666 6.988691666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c3c,Plateaux,Haho,Haho 3,Kpédomé,Kpedji,Coopérative Sodjawazou,"{Cooperative production,entraide}",Nsp,POINT (1.1778041591977264 6.988396154626022)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c3b,Plateaux,Haho,Haho 3,Kpédomé,Kpedji,Coopérative Essowaza,"{Cooperative production,tontine,entraide}",Nsp,POINT (1.182385 6.984403333333334)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c3a,Plateaux,Haho,Haho 3,Kpédomé,Kpedome,Coopérative Mawussi,"{tontine,entraide,small business,autre}",Nsp,POINT (1.168118564938442 6.9719912923652245)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c39,Plateaux,Haho,Haho 3,Kpédomé,Kpedome,Coopérative Djifa,"{Cooperative production,tontine,entraide}",Nsp,POINT (1.1747283333333334 6.973045)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c38,Plateaux,Haho,Haho 3,Kpédomé,Lao Kope,Coopérative Dounagno,{Cooperative production},Nsp,POINT (1.1764133333333333 7.01617)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c37,Plateaux,Haho,Haho 3,Kpédomé,Lao Kope,Coopérative Solim,{Cooperative production},Nsp,POINT (1.17804 7.016445000000001)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c36,Plateaux,Haho,Haho 3,Kpédomé,Alatie-marche,Coopérative Emefa,{Cooperative production},Nsp,POINT (1.0858649999999999 7.00304)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c35,Plateaux,Haho,Haho 3,Kpédomé,Tshinigan 1,Coopérative lebene,"{Cooperative production,tontine}",Nsp,POINT (1.0035132979322605 7.019460885404615)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c34,Plateaux,Haho,Haho 3,Kpédomé,Alatie-marché,Coopérative Amenouveve,{Cooperative production},Nsp,POINT (1.0859485578419574 7.003153040999524)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c33,Plateaux,Haho,Haho 3,Kpédomé,Alatie-marche,Coopérative Miwonovi,"{Cooperative production,entraide}",Nsp,POINT (1.0867151291805375 7.004971155038848)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c32,Plateaux,Haho,Haho 3,Kpédomé,Alatie-marche,Coopérative Assilassime,{Cooperative production},Nsp,POINT (1.0862041543556145 7.002869292510707)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c31,Plateaux,Haho,Haho 4,Kpegnon (Haito),Dzeyibo,Coopérative lidaou,{Cooperative production},Nsp,POINT (0.9404116666666666 7.240711666666666)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c30,Plateaux,Haho,Haho 4,Kpegnon (Haito),Dzeyibo,Coopérative Ta Volonté,{Cooperative production},Nsp,POINT (0.9406225501526091 7.241494000800008)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c2f,Plateaux,Haho,Haho 4,Kpegnon (Haito),Eboua Cope,Coopérative Bouwedeou,{Cooperative production},Nsp,POINT (0.9859367906070698 7.227963634408004)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c2e,Plateaux,Kloto,Kloto 1,Kpadapé,Tongolo,Coopérative Novissi,{small business},Nsp,POINT (0.5949166666666666 6.8442583333333324)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c2d,Plateaux,Haho,Haho 4,Kpegnon (Haito),Eboua Cope,Coopérative lolonyo,"{tontine,Cooperative production}",Nsp,POINT (0.9862268653751237 7.227736713161739)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c2c,Plateaux,Haho,Haho 4,Kpegnon (Haito),Eboua Cope,Coopérative Union Fait la Force,{Cooperative production},Nsp,POINT (0.984945 7.225955000000001)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c2b,Plateaux,Haho,Haho 4,Kpegnon (Haito),Haïto Marche,Coopérative P_ay_coop_nounenyo,"{Cooperative production,autre}",Nsp,POINT (0.9598873834551739 7.20778253277346)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c2a,Plateaux,Haho,Haho 4,Kpegnon (Haito),Dzeyibo,Coopérative Esso-ewe,"{Cooperative production,small business}",Nsp,POINT (0.9409294829212345 7.241874364849428)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c29,Plateaux,Haho,Haho 4,Kpegnon (Haito),Agodome 1,Coopérative Migbegna,"{Cooperative production,autre}",Cooperative avec conseil d administration,POINT (1.0240334737842254 7.154300790123222)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-5c28,Plateaux,Haho,Haho 4,Kpegnon (Haito),Kpegno-adja,Coopérative Kadedji,"{Cooperative production,tontine}",Nsp,POINT (1.0108091084199602 7.138115899286027)
