FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,terrain,geometry
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29d6,Plateaux,Kloto,Kloto 3,Kouma,DOVOTA,Pagila,Dovota,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2004,autre,POINT (0.5923866666666666 7.004805000000001)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29d7,Plateaux,Kloto,Kloto 3,Kouma,DOVOTA,Tcholida,Dovota,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2018,autre,POINT (0.591825 7.004199999999999)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29d8,Plateaux,Kloto,Kloto 2,Kpimé,DOVOTA,"Tomate, Aubergine ",Village Dovota,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2022,Prive - individuel,POINT (0.5938766666666666 7.029101666666666)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29d9,Plateaux,Kloto,Kloto 1,Agome-Kpalime,DOME,Dieu Merci,En Face du Monument des Morts,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",1997,Domaine prive de l Etat ou des collectivites territoriales,POINT (0.6343483333333333 6.901816666666667)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29da,Plateaux,Agou,Agou 1,Agou-Kébo,KEBODZIGBE,Adopri 3,Kebo/Kpalimé,"{Dimanche,Samedi,jeudi,Mercredi,Mardi,Lundi,Vendredi}",2021,Prive - individuel,POINT (0.7452000000000001 6.8690050000000005)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29db,Plateaux,Agou,Agou 1,Agou-Tavié,SONAF,Adewou  Afenofe,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2012,Prive - individuel,POINT (0.7371949999999999 6.846138333333332)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29dc,Plateaux,Agou,Agou 1,Gadja,ANANIVIKONDJI,Green World,99053571,"{Samedi,Vendredi,Mercredi,Lundi}",2019,Prive - individuel,POINT (0.8221137057677481 6.878044222520541)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29dd,Plateaux,Agou,Agou 2,Agotimé-Nord,NYIDOVE ,Pépinière  Nyidove ,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",1988,Prive - individuel,POINT (0.7073582961526654 6.758494673558636)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29de,Savanes,Oti,Oti 1,Mango,SADORI,Jardin Ykoue,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2012,Prive - individuel,POINT (0.4708566666666666 10.308641666666666)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29df,Plateaux,Agou,Agou 1,Agou-Kébo,KEBODZIGBE,Adopri 4,Kebo/Kpalimé,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2021,Prive - individuel,POINT (0.7451540608308396 6.8688832355140494)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29e0,Savanes,Oti,Oti 1,Sadori,Tieba,Pepiniere de Palanga,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,Prive - individuel,POINT (0.461005 10.30849)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29e1,Savanes,Cinkassé,Cinkassé 1,Cinkassé,CINKASSE SOMAYAF,Pépinière de Issaka,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2018,Prive - individuel,POINT (0.014080601866162 11.112018211150913)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29e2,Plateaux,Agou,Agou 1,Agou-Kébo,DOGBADZI,Adjeoda,Dogbadzi/Kpalimé,"{Lundi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2018,Prive - individuel,POINT (0.7533016666666666 6.867043333333333)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29e3,Plateaux,Agou,Agou 1,Agou-Kébo,DOGBADZI,Agbeko,Kebo/Kpalimé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2017,Prive - individuel,POINT (0.7531483333333333 6.867114999999999)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29e4,Plateaux,Amou,Amou 3,Okpahoé,KODZOASA,Pépinière Pierre,Néant,"{Lundi,Mercredi,Vendredi,Dimanche}",2019,Prive - individuel,POINT (1.0377733333333334 7.608640000000001)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29e5,Plateaux,Amou,Amou 3,Hihéatro,KODZOASA,Pépinière Osse,Néant,"{Lundi,Mercredi,Vendredi,Dimanche}",2018,Prive - individuel,POINT (1.0376433333333333 7.613061666666666)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29e6,Plateaux,Amou,Amou 3,Hihéatro,KODZOASA,Pépinière Apedo,Néant,"{Lundi,Mercredi,Vendredi,Dimanche}",2016,Prive - individuel,POINT (1.0374866666666667 7.613718333333333)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29e7,Savanes,Oti-Sud,Oti-Sud 2,Kountoire,MABOUGOU,Guengani,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2011 ,Prive - Collectivite coutumiere,POINT (0.6314333333333334 10.192016666666666)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29e8,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Pogno,SANSARGOU,Pépinière de  Karra,Sansargou,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2018,Prive - individuel,POINT (0.5143977325635615 10.976027423075463)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29e9,Maritime,Bas-Mono,Bas-Mono 1,Afagnan-Gbléta,DOULASSAME,Pepiniere Doulassame ,Nsp,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",Nsp,Prive - individuel,POINT (1.5756083333333333 6.476661666666667)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29ea,Plateaux,Agou,Agou 1,Agou-Kébo,KEBO DZIGBE,Adopri 1,Kebo/Kpalimé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,Prive - individuel,POINT (0.7449066666666667 6.868958333333334)
